code,name,current price, highest price, lowest price, rate to high, rate to low, price rate,days from last open, days from lowest price, priceTrend, redKline, redSoldier, industrySector, industrySubSector
002361,神剑股份,16.26,33.05,10.74,0.49198186,0.66051656,0.24742271,61,72,GoDown,0,true,制造业,材料行业
001696,宗申动力,13.82,28.27,9.35,0.48885742,0.67655575,0.2362579,61,72,GoDown,0,false,制造业,新能源
002369,卓翼科技,13.3,20.03,12.37,0.66400397,0.93007517,0.121409945,20,37,GoDown,0,true,制造业,电子信息
002367,康力电梯,16.77,28.49,12.91,0.58862764,0.76982707,0.24775358,61,72,GoUpRed,0,true,null,机械行业
600395,盘江股份,8.21,15.71,6.06,0.5225971,0.73812425,0.22279795,61,72,GoDown,0,true,null,煤炭石油
002372,伟星新材,17.88,27.14,12.66,0.65880615,0.7080537,0.3604972,61,120,GoUpRed,0,true,制造业,建材
600397,安源煤业,5.84,14.46,4.54,0.40387276,0.7773972,0.13104841,61,72,GoUpRed,0,true,采掘业,煤炭采选
002374,丽鹏股份,16.9,32.0,10.25,0.528125,0.6065089,0.30574712,61,72,GoDown,0,true,null,包装材料
600396,金山股份,7.06,13.63,5.77,0.51797503,0.8172805,0.16412213,33,67,GoUpRed,0,false,null,新能源
002375,亚厦股份,15.77,33.38,11.73,0.47243857,0.7438173,0.18660511,61,72,GoDown,0,false,深证成指,装修装饰
600399,抚顺特钢,9.37,17.39,6.6,0.53881544,0.7043757,0.2567192,61,114,GoUpGreen,3,false,null,航天军工
600392,盛和资源,12.31,15.75,11.84,0.7815873,0.96181965,0.12020468,27,28,GoUpRed,0,false,null,有色金属
002378,章源钨业,12.04,23.51,7.31,0.5121225,0.60714287,0.2919753,61,72,GoUpRed,0,false,制造业,有色金属
002385,大北农,12.21,19.76,9.51,0.617915,0.7788698,0.26341462,61,72,GoDown,0,true,制造业,农牧饲渔
002386,天原集团,7.93,12.44,5.25,0.6374598,0.6620429,0.3727399,61,72,GoDown,0,false,制造业,化工行业
002384,东山精密,20.02,29.34,20.02,0.6823449,1.0,0.0,1,0,GoUpGreen,1,true,制造业,新能源
600844,丹化科技,8.75,16.0,5.49,0.546875,0.62742853,0.31018078,61,72,GoUpRed,0,true,制造业,化工行业
600843,上工申贝,16.77,26.86,10.8,0.62434846,0.64400715,0.37173098,61,79,GoUpRed,0,true,null,机械行业
002391,长青股份,17.82,28.29,12.4,0.6299045,0.69584733,0.341095,61,79,GoUpRed,0,true,null,化工化纤
002390,信邦制药,14.35,26.41,8.97,0.5433548,0.6250871,0.30848628,26,67,GoDown,0,false,制造业,医药
002397,梦洁家纺,10.28,18.62,6.68,0.55209446,0.6498054,0.3015075,61,72,GoDown,3,true,null,纺织服装
601001,大同煤业,5.55,12.18,5.05,0.45566502,0.9099099,0.07012623,61,72,GoUpRed,0,true,null,煤炭石油
601002,晋亿实业,11.53,24.16,7.26,0.47723508,0.6296618,0.2526627,61,72,GoUpRed,0,false,制造业,机械行业
601005,重庆钢铁,3.29,7.62,3.04,0.43175852,0.9240122,0.054585155,61,62,GoUpRed,3,true,制造业,钢铁行业
