#代码;名称;收盘价;涨跌幅;成交量/股;换手率;流通市值/万元;总市值/万元
000566;海南海药;0.00;0.00%;0;0.00%;2470232.18;2725066.14;
601801;皖新传媒;27.14;+9.26%;10816782;1.19%;2469740.00;2469740.00;
002191;劲嘉股份;0.00;0.00%;0;0.00%;2467848.00;2528391.00;
000039;中集集团;19.59;+7.76%;32108880;2.55%;2464965.88;5268518.27;
601958;金钼股份;7.60;+7.34%;44562592;1.38%;2452219.34;2452219.34;
002236;大华股份;36.82;+4.93%;15078614;2.27%;2441492.57;4272361.78;
600428;中远航运;14.25;0.00%;0;0.00%;2408886.11;2408886.11;
600660;福耀玻璃;12.02;+3.00%;32521768;1.62%;2407589.57;3015358.27;
000069;华侨城Ａ;7.72;+6.63%;103748680;3.33%;2402822.27;5613476.58;
000630;铜陵有色;0.00;0.00%;0;0.00%;2399607.43;3227673.31;
600643;爱建股份;16.73;0.00%;0;0.00%;2399128.65;2404334.96;
000060;中金岭南;11.59;+9.96%;99072064;4.81%;2389188.76;2564435.78;
000061;农 产 品;14.83;+6.46%;23670480;1.47%;2384190.75;2516597.81;
300124;汇川技术;38.30;+6.54%;16598429;2.67%;2378378.42;3042944.51;
600600;青岛啤酒;34.12;+3.02%;8677607;1.25%;2374457.26;4609553.30;
000503;海虹控股;26.40;+10.00%;93058136;10.36%;2370632.82;2372890.62;
002368;太极股份;0.00;0.00%;0;0.00%;2367940.03;2722993.03;
600655;豫园商城;16.47;+8.36%;65314452;4.54%;2367269.29;2367269.29;
000540;中天城投;0.00;0.00%;0;0.00%;2358794.40;3160379.18;
600315;上海家化;35.05;+3.15%;15917641;2.37%;2352110.73;2356645.32;
002465;海格通信;25.50;+10.01%;41531928;4.53%;2336613.21;2735833.36;
600835;上海机电;28.94;+6.05%;14240541;1.77%;2334023.44;2959807.56;
600654;中安消;30.91;0.00%;0;0.00%;2333838.39;3965817.89;
600498;烽火通信;23.83;+5.07%;27539118;2.85%;2303656.94;2494806.72;
600037;歌华有线;19.66;+8.92%;36471396;3.12%;2296980.08;2296980.08;
000750;国海证券;9.90;+5.43%;86777200;3.76%;2287255.47;2782257.70;
002577;雷柏科技;0.00;0.00%;0;0.00%;2266895.06;2288854.62;
000977;浪潮信息;23.52;+10.01%;49835884;5.19%;2257274.97;2257274.97;
002219;恒康医疗;0.00;0.00%;0;0.00%;2248255.94;2817221.39;
600500;中化国际;13.04;+8.49%;63900964;3.71%;2246954.57;2716248.52;
600398;海澜之家;14.92;+4.48%;25421396;1.69%;2240906.66;6703194.82;
300144;宋城演艺;44.17;+10.01%;14657216;2.89%;2236701.29;2625427.40;
600436;片仔癀;55.33;+6.38%;4574384;1.14%;2225436.08;2225436.08;
600482;风帆股份;42.38;0.00%;0;0.00%;2222161.40;2273687.00;
601258;庞大集团;4.23;+6.01%;169096976;3.23%;2217789.00;2741087.97;
300003;乐普医疗;32.30;+10.01%;8305942;1.21%;2216124.72;2622760.00;
002292;奥飞动漫;34.07;-9.99%;831700;0.13%;2207599.96;4306040.26;
601880;大连港;6.52;+9.95%;81254944;2.42%;2192936.80;2885752.00;
600270;外运发展;24.18;+7.47%;16616241;1.84%;2189454.80;2189454.80;
300017;网宿科技;43.65;+3.93%;20052848;4.04%;2165179.02;3052783.84;
600739;辽宁成大;15.83;0.00%;0;0.00%;2160335.64;2421530.64;
300072;三聚环保;35.97;+4.26%;24096444;4.04%;2146966.38;2379377.27;
600176;中国巨石;24.56;+9.99%;35109384;4.02%;2143178.05;2143178.05;
600157;永泰能源;4.66;+7.13%;121359216;2.64%;2141575.13;5216702.03;
002399;海普瑞;0.00;0.00%;0;0.00%;2138134.40;2138134.40;
000786;北新建材;0.00;0.00%;0;0.00%;2137257.40;2627177.80;
002470;金正大;18.00;+7.08%;13123134;1.11%;2133144.00;2813122.53;
002498;汉缆股份;19.88;+7.75%;27501522;2.56%;2132274.63;2133442.08;
000650;仁和药业;0.00;0.00%;0;0.00%;2125667.33;2126229.91;
002310;东方园林;0.00;0.00%;0;0.00%;2125616.09;3863366.76;
601519;大智慧;10.69;+9.75%;63426684;3.19%;2124851.30;2124851.30;
600017;日照港;6.89;+7.83%;69529352;2.26%;2119125.53;2119125.53;
300316;晶盛机电;0.00;0.00%;0;0.00%;2100018.70;2288100.28;
601139;深圳燃气;9.63;+5.71%;12491461;0.57%;2097045.04;2097045.04;
300015;爱尔眼科;26.86;+8.09%;10039646;1.29%;2093580.00;2638804.03;
002506;协鑫集成;9.46;+10.00%;181595776;8.22%;2088996.13;2387249.92;
600008;首创股份;9.49;+8.58%;58464852;2.66%;2087800.00;2287381.40;
600143;金发科技;8.15;+7.38%;51987008;2.03%;2086400.00;2086400.00;
002008;大族激光;21.16;+9.98%;51980040;5.30%;2076233.77;2234442.98;
002018;华信国际;0.00;0.00%;0;0.00%;2072516.06;5284559.62;
600808;马钢股份;3.47;+8.44%;80866040;1.36%;2070809.66;2672136.37;
600597;光明乳业;16.84;+4.73%;23784016;1.94%;2061724.58;2072392.27;
600252;中恒集团;18.82;+7.85%;63958812;5.86%;2054668.85;2180050.55;
002311;海大集团;13.55;+4.71%;12734719;0.84%;2053682.53;2083127.21;
600664;哈药股份;10.67;+7.13%;15965092;0.83%;2045954.67;2045954.67;
600633;浙报传媒;18.02;0.00%;0;0.00%;2043597.32;2141294.24;
600499;科达洁能;29.64;0.00%;0;0.00%;2041415.58;2091790.13;
600060;海信电器;15.60;+7.29%;43422408;3.32%;2041230.71;2041230.71;
600652;游久游戏;36.50;0.00%;0;0.00%;2033059.36;3039367.77;
002563;森马服饰;22.00;+5.92%;6176734;0.67%;2017034.90;2948000.00;
002179;中航光电;34.84;+10.01%;1088940;0.19%;2012382.02;2099161.86;
300058;蓝色光标;0.00;0.00%;0;0.00%;2009575.52;2761572.35;
300315;掌趣科技;12.47;+6.86%;124750912;7.75%;2008294.96;3077215.48;
000623;吉林敖东;25.36;+6.55%;37145204;4.71%;2001007.26;2268295.87;
000581;威孚高科;23.59;+3.19%;32865388;3.88%;1999696.92;2406654.14;
002007;华兰生物;39.65;+6.21%;11111937;2.22%;1984028.03;2304873.53;
600023;浙能电力;7.74;+7.50%;162502016;6.36%;1976995.48;10526934.05;
002129;中环股份;12.40;+10.03%;64834900;4.07%;1975738.76;2847362.60;
600816;安信信托;43.27;+6.39%;20691358;4.56%;1964933.01;3063325.31;
002269;美邦服饰;7.79;+10.03%;87657880;3.49%;1957237.50;1967754.00;
000930;中粮生化;20.27;+9.98%;131768696;13.66%;1954861.33;1954861.33;
600685;中船防务;44.58;+9.99%;14865805;3.39%;1954670.08;6301411.43;
000981;银亿股份;0.00;0.00%;0;0.00%;1947898.80;1949941.80;
601699;潞安环能;6.50;+6.38%;41394468;1.38%;1944415.98;1944415.98;
000338;潍柴动力;9.27;+6.92%;56345688;2.69%;1939441.38;3706720.07;
000686;东北证券;11.47;+7.00%;75513032;4.47%;1937835.34;2244869.44;
000998;隆平高科;23.11;+6.01%;19402812;2.33%;1921827.60;2301987.10;
600718;东软集团;15.59;+8.87%;44997580;3.67%;1913819.43;1913819.43;
600521;华海药业;24.41;+3.87%;8391413;1.07%;1913148.03;1918350.83;
600219;南山铝业;6.73;+6.66%;98732464;3.48%;1908079.07;1908079.07;
000729;燕京啤酒;7.60;+3.12%;55268328;2.20%;1907098.07;2142089.90;
000997;新 大 陆;20.66;+10.01%;40020864;4.38%;1889668.79;1935027.99;
002736;国信证券;15.74;+4.10%;65223472;5.44%;1888800.00;12906800.00;
000806;银河投资;0.00;0.00%;0;0.00%;1878825.93;2958762.64;
600074;保千里;20.92;0.00%;0;0.00%;1874392.85;4719453.64;
002203;海亮股份;0.00;0.00%;0;0.00%;1865457.51;2124350.81;
000979;中弘股份;0.00;0.00%;0;0.00%;1855987.25;2784625.94;
